,imdb_id,release_date,genres,title,budget,revenue,runtime_mins,vote_average,vote_count
103,tt1440232,2010-10-20,"['Comedy', 'Drama']",Little White Lies,25000000,48531470,154,7.2,1055
104,tt1415283,2010-03-26,"['Comedy', 'Fantasy', 'Family']",Nanny McPhee and the Big Bang,25000000,123276807,109,6.2,1217
105,tt1462758,2010-09-24,"['Drama', 'Thriller', 'Mystery']",Buried,1987650,19152480,94,6.6,1797
106,tt1555149,2010-10-08,"['Drama', 'Action', 'Crime']",Elite Squad: The Enemy Within,0,63027681,115,7.8,1074
107,tt1529235,2010-10-01,['Comedy'],Welcome to the South,4000000,65584679,102,6.7,1371
108,tt1465522,2010-01-22,"['Comedy', 'Horror']",Tucker and Dale vs. Evil,5000000,0,89,7.3,1735
109,tt1386932,2010-04-21,"['Action', 'History', 'Drama']",Ip Man 2,12902809,36000000,109,7.4,1355
110,tt1220634,2010-09-09,"['Action', 'Adventure', 'Horror', 'Science Fiction']",Resident Evil: Afterlife,60000000,300228084,97,6.0,2519
111,tt1201607,2011-07-07,"['Fantasy', 'Adventure']",Harry Potter and the Deathly Hallows: Part 2,125000000,1341511219,130,8.1,14010
112,tt1192628,2011-03-02,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",Rango,135000000,245724603,107,6.7,4206
113,tt0800369,2011-04-21,"['Adventure', 'Fantasy', 'Action']",Thor,150000000,449326618,115,6.7,15097
114,tt0409847,2011-07-29,"['Action', 'Science Fiction', 'Thriller', 'Western']",Cowboys & Aliens,163000000,174822325,119,5.5,3593
115,tt1598778,2011-09-08,"['Drama', 'Thriller', 'Science Fiction']",Contagion,60000000,137551594,106,6.5,3856
116,tt0377981,2011-01-13,"['Animation', 'Family']",Gnomeo & Juliet,36000000,189712432,84,5.8,1328
117,tt1071875,2011-12-11,"['Action', 'Fantasy', 'Thriller']",Ghost Rider: Spirit of Vengeance,57000000,132563930,95,4.8,2446
118,tt1298650,2011-05-14,"['Adventure', 'Action', 'Fantasy']",Pirates of the Caribbean: On Stranger Tides,380000000,1045713802,136,6.5,10045
119,tt1216475,2011-06-11,"['Animation', 'Family', 'Adventure', 'Comedy']",Cars 2,200000000,559852396,106,5.9,4995
120,tt1253864,2011-11-10,"['Fantasy', 'Action', 'Drama']",Immortals,75000000,226904017,110,5.8,1716
121,tt0472399,2011-01-13,"['Action', 'Thriller', 'Crime']",The Mechanic,40000000,51070807,93,6.4,2081
122,tt1318514,2011-08-03,"['Thriller', 'Action', 'Drama', 'Science Fiction']",Rise of the Planet of the Apes,93000000,482860185,105,7.2,8471
123,tt1411238,2011-01-21,"['Comedy', 'Romance']",No Strings Attached,25000000,149228077,107,6.2,3249
124,tt1229238,2011-12-07,"['Action', 'Thriller', 'Adventure']",Mission: Impossible - Ghost Protocol,145000000,694713380,133,7.0,7065
125,tt0471042,2011-11-02,"['Action', 'Comedy']",Tower Heist,75000000,152930623,104,6.0,1954
126,tt1637688,2011-10-27,"['Action', 'Thriller', 'Science Fiction']",In Time,40000000,173930596,109,6.9,7677
127,tt1262416,2011-04-11,"['Horror', 'Mystery']",Scream 4,40000000,97138686,111,6.3,1976
128,tt1563738,2011-03-02,"['Drama', 'Romance']",One Day,15000000,59389433,107,7.3,2649
129,tt1324999,2011-11-16,"['Adventure', 'Fantasy', 'Romance']",The Twilight Saga: Breaking Dawn - Part 1,110000000,712171856,117,6.1,6230
130,tt0816462,2011-08-17,"['Adventure', 'Fantasy', 'Action']",Conan the Barbarian,90000000,63523283,113,5.2,1222
131,tt1067774,2011-07-01,"['Adventure', 'Comedy', 'Romance']",Monte Carlo,20000000,39667665,109,6.5,1518
132,tt1899353,2011-11-29,"['Action', 'Thriller', 'Crime']",The Raid,1100000,4105187,101,7.4,2015
133,tt0970179,2011-11-22,"['Adventure', 'Drama', 'Family']",Hugo,170000000,185770160,126,7.2,5025
134,tt1219289,2011-03-08,"['Thriller', 'Mystery', 'Science Fiction']",Limitless,27000000,161849455,105,7.2,7580
135,tt1189073,2011-08-17,"['Drama', 'Horror', 'Mystery', 'Thriller']",The Skin I Live In,13000000,5774854,120,7.5,2460
136,tt1284575,2011-05-16,['Comedy'],Bad Teacher,20000000,216197492,92,5.5,3469
137,tt1302011,2011-05-25,"['Animation', 'Family']",Kung Fu Panda 2,150000000,665692281,91,6.8,4440
138,tt0472181,2011-07-29,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",The Smurfs,110000000,563749323,103,5.7,2575
139,tt1564367,2011-02-10,"['Comedy', 'Romance']",Just Go with It,80000000,214945591,117,6.5,3740
140,tt0780504,2011-08-06,"['Drama', 'Thriller', 'Crime']",Drive,15000000,78054825,100,7.6,8317
141,tt1615918,2011-12-14,"['Comedy', 'Fantasy', 'Family', 'Music', 'Animation']",Alvin and the Chipmunks: Chipwrecked,75000000,342695435,87,5.6,1368
142,tt1204342,2011-11-22,"['Comedy', 'Family', 'Music']",The Muppets,45000000,165184237,103,6.6,1001
143,tt1657507,2011-07-27,"['Action', 'Thriller', 'Crime', 'Drama']",Colombiana,40000000,60965854,108,6.6,1665
144,tt1133985,2011-06-16,"['Adventure', 'Action', 'Thriller', 'Science Fiction']",Green Lantern,200000000,219851172,114,5.1,5120
145,tt1675434,2011-11-02,"['Drama', 'Comedy']",The Intouchables,13000000,426480871,113,8.2,12029
146,tt1340800,2011-09-16,"['Drama', 'Thriller', 'Mystery']",Tinker Tailor Soldier Spy,30000000,80630608,127,6.6,1667
147,tt0905372,2011-10-12,"['Horror', 'Science Fiction', 'Mystery', 'Thriller']",The Thing,35000000,28128670,103,6.1,1767
148,tt0978764,2011-03-24,"['Action', 'Fantasy', 'Thriller']",Sucker Punch,82000000,89792502,110,6.1,3248
149,tt0433035,2011-09-28,"['Action', 'Science Fiction', 'Drama']",Real Steel,110000000,299268508,127,6.8,5457
150,tt1634122,2011-09-15,"['Crime', 'Adventure', 'Action', 'Comedy', 'Thriller']",Johnny English Reborn,45000000,160078586,101,6.2,2212
151,tt1217613,2011-03-08,"['Action', 'Science Fiction']",Battle: Los Angeles,70000000,202466756,116,5.6,2396
152,tt0822847,2011-05-05,"['Horror', 'Action', 'Thriller']",Priest,60000000,78309131,87,5.6,1432
153,tt0458339,2011-07-22,"['Action', 'Adventure', 'Science Fiction']",Captain America: The First Avenger,140000000,370569774,124,6.9,15180
154,tt1464540,2011-02-18,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",I Am Number Four,50000000,149878437,109,6.1,3398
155,tt1486185,2011-03-11,"['Fantasy', 'Thriller', 'Horror']",Red Riding Hood,42000000,89162162,100,5.9,2269
156,tt1436562,2011-04-03,"['Animation', 'Adventure', 'Comedy', 'Family']",Rio,90000000,484635760,96,6.6,4506
157,tt1570728,2011-07-29,"['Comedy', 'Drama', 'Romance']","Crazy, Stupid, Love.",50000000,142851197,118,7.2,5546
158,tt0990407,2011-01-12,"['Action', 'Crime', 'Comedy']",The Green Hornet,120000000,227817248,119,5.5,2258
159,tt1488555,2011-08-05,['Comedy'],The Change-Up,52000000,75450437,112,6.0,1799
160,tt1499658,2011-07-08,"['Comedy', 'Crime']",Horrible Bosses,35000000,209838559,98,6.5,4498
161,tt0945513,2011-03-30,"['Thriller', 'Science Fiction', 'Mystery']",Source Code,32000000,147332697,93,7.3,5586
162,tt1092026,2011-02-14,"['Adventure', 'Comedy', 'Science Fiction']",Paul,40000000,97552050,104,6.5,3591
163,tt1527186,2011-05-26,"['Drama', 'Science Fiction']",Melancholia,7400000,15946321,135,7.2,2127
164,tt1632708,2011-07-21,"['Romance', 'Comedy']",Friends with Benefits,35000000,150483765,109,6.6,5656
165,tt1515091,2011-11-22,"['Adventure', 'Action', 'Crime', 'Mystery']",Sherlock Holmes: A Game of Shadows,125000000,334615000,129,7.1,7550
166,tt0477302,2011-12-24,['Drama'],Extremely Loud & Incredibly Close,40000000,55247881,129,7.0,1467
