release_date,title,genres,production_budget,domestic_gross,foreign_gross,worldwide_gross
2015-04-10,Black Souls,Drama,,100725,,
2014-09-12,I Am Eleven,Documentary,,98057,,
2015-04-17,1915,,,96682,,
2015-07-01,A Poem Is a Naked Person,Documentary,,96592,,
2015-03-27,Man from Reno,Thriller/Suspense,,92918,,
2015-10-02,Saving Mr. Wu,Action,,92696,,
2015-03-13,Tales of Hoffmann,Musical,,91930,,
2015-12-04,Christmas Eve,Comedy,,91302,,
2015-10-16,Beasts of No Nation,Drama,6000000,90777,0,90777
2015-05-22,Sunshine Superman,Documentary,,88097,,
2015-08-26,Queen of Earth,Drama,,86616,,
2015-09-11,Hero,Drama,42000000,84961,47300000,66787173
2015-07-31,The End of the Tour,Drama,,83196,,
2015-01-02,Trace Amounts,Documentary,,80735,,
2015-05-29,Heaven Knows What,Drama,,80312,,
2015-10-23,Nasty Baby,Drama,,79800,,
2015-04-24,Blackbird,Drama,,78400,,
2015-10-15,Tab Hunter Confidential,,,78323,,
2015-06-26,Batkid Begins: The Wish Hea…,Documentary,,74709,,
2015-09-04,Dragon Blade,Action,,74070,,
2014-12-12,Six Dance Lessons in Six Weeks,Comedy,,73899,,
2014-10-24,The Principle,Reality,,72717,,
2015-03-20,Backcountry,Thriller/Suspense,,71191,,
2015-10-30,Freaks of Nature,Black Comedy,33000000,70958,0,70958
2015-10-30,The Wonders,Drama,,70805,,
2015-05-06,I Am Big Bird: The Caroll S…,Documentary,,67845,,
2006-03-03,Deep Sea 3-D,Documentary,,65701,,
2015-06-19,Eden,Drama,2300000,65460,0,0
2014-11-05,National Gallery,Documentary,,64597,,
2015-12-31,Devil and Angel,Comedy,,64470,,
2015-09-18,Office,Musical,,63029,,
2015-09-25,Drunk Stoned Brilliant Dead…,Documentary,,62684,,
2015-07-24,Only You,Romantic Comedy,,61565,,
2015-05-13,Dark Star: H.R. Giger's World,Documentary,,61303,,
2015-01-30,Girlhood,Drama,,60765,,
2014-12-05,The Pyramid,Horror,,60598,,
2015-05-20,GÃ¼eros,Comedy,,60171,,
2015-09-18,Cooties,Black Comedy,,60058,,
2015-10-23,I Smile Back,Drama,,58738,,
2015-03-20,Jauja,Drama,,58403,,
2015-09-02,Rififi,Thriller/Suspense,,57749,,
2015-08-27,Brian Wilson: I Just Wasn't…,Documentary,,56744,,
2015-01-23,The Duke of Burgundy,Drama,,56657,,
2014-10-10,The Judge,Drama,50000000,56282,28954168,76073556
2014-11-28,Antarctica: A Year on Ice,Documentary,1000000,54710,0,288757
2015-01-09,Beloved Sisters,Drama,,54064,,
2014-11-14,Beyond the Lights,Drama,7000000,54018,0,14618727
2015-06-19,The Ark of Mr. Chow,Comedy,,53252,,
2015-05-22,Aloft,Drama,8000000,53086,478053,531139
2015-08-19,The Quay Brothers in 35MM,Documentary,,51858,,
2015-10-30,Flowers,Drama,,51238,,
2015-08-14,We Come as Friends,Documentary,,50921,,
2014-11-20,The Yes Men Are Revolting,Documentary,,50190,,
2015-11-13,Heist,Thriller/Suspense,35000000,50136,5423460,28906817
2015-11-13,Heist,Thriller/Suspense,8900000,50136,3273995,3324131
2015-03-20,Spring,Horror,,49970,,
2015-10-16,Difret,Drama,,49667,,
2015-10-30,Red Herring,Drama,,49480,,
2015-07-31,Bangistan,Black Comedy,,48694,,
2015-01-16,Appropriate Behavior,Comedy,,46912,,
2015-10-02,Shanghai,Drama,50000000,46425,15459497,15505922
2015-04-17,Beyond The Reach,Thriller/Suspense,,45895,,
2015-04-10,Lost River,Thriller/Suspense,2000000,45431,1964213,2009644
2015-04-17,Mr. X,Thriller/Suspense,,44995,,
1964-07-22,Marnie,,,44261,,
2015-06-12,Madame Bovary,Drama,,44234,,
2015-02-27,The Salvation,Western,,43318,,
2015-11-13,Ingrid Bergman - In Her Own…,Documentary,,42381,,
2015-09-11,Breathe,Drama,,42313,,
2015-07-10,Nowitzki: The Perfect Shot,Documentary,,41340,,
2015-04-14,Love Thy Nature,Documentary,,41336,,
2015-02-18,Queen and Country,,,41297,,
2014-12-03,Zero Motivation,Drama,,41152,,
2015-05-08,The Seven Five,Documentary,,40674,,
2015-06-19,The New Rijksmuseum,Documentary,,40578,,
2015-11-06,What Our Fathers Did: A Naz…,Documentary,,40119,,
2015-11-13,Entertainment,Drama,,39864,,
2015-06-05,Charlieâs Country,Drama,,39436,,
2015-09-18,Prophet's Prey,Documentary,,39347,,
2015-07-10,Stations of the Cross,Drama,,38818,,
2015-07-17,Lila & Eve,Drama,,38263,,
2015-02-27,Autrui,Drama,,37460,,
2015-09-04,Before We Go,Drama,3000000,37151,446787,483938
2015-03-06,The Mafia Only Kills in Summer,Black Comedy,,37134,,
2015-03-06,Grey Gardens,Documentary,,36923,,
2015-10-09,Knock Knock,Thriller/Suspense,2000000,36336,6292180,6328516
2015-07-31,The Kindergarten Teacher,Drama,2400000,36190,552188,552188
2015-09-09,Welcome to Leith,Documentary,,36010,,
2015-09-25,Finders Keepers,Documentary,,35555,,
2015-10-23,The Pearl Button,Documentary,,34929,,
2015-01-23,Song One,Drama,6000000,32251,404838,437089
2015-01-02,The Search for General Tso,Documentary,,32119,,
2015-07-31,Wild City,Action,,32053,,
2015-01-30,Amira & Sam,Romantic Comedy,,31848,,
2015-10-07,The Forbidden Room,Comedy,,31734,,
2015-01-30,Hard to Be a God,Drama,,31443,,
2015-12-11,Don Verdean,Comedy,,31309,,
2015-08-14,"People, Places, Things",Comedy,,30768,,
2014-12-24,Love on the Cloud,Comedy,,30708,,
2015-01-14,Match,Comedy,,30566,,
2015-06-26,Runoff,Drama,,30186,,
2015-09-11,Paul Taylor Creative Domain,Documentary,,30168,,
2015-06-19,3 and 1/2 Minutes,Documentary,,29725,,
2015-08-14,Paulette,Comedy,,29086,,
2015-04-10,Rebels Of the Neon God,Drama,,28791,,
2015-01-23,Americons,Action,,28782,,
2014-11-14,Le jour se leve,Drama,,28339,,
2015-06-05,The Nightmare,Horror,,28281,,
2015-11-20,Censored Voices,Documentary,,28231,,
2015-03-06,"Like Sunday, Like Rain",Drama,,28208,,
2015-08-28,7 Chinese Brothers,Comedy,,28180,,
2015-09-18,The Cut,Drama,,28066,,
2014-10-17,Dear White People,Comedy,1250000,27532,999617,5403771
2015-09-25,The Keeping Room,Western,,27166,,
2014-11-07,Elsa & Fred,Comedy,10000000,26754,130244,197901
2015-07-10,Tap World,Documentary,,26747,,
2015-09-16,Peace Officer,Documentary,,26632,,
2014-10-17,The Best of Me,Drama,26000000,26454,14293205,41059418
2014-09-12,Sagrada: The Mystery of Cre…,Documentary,,26155,,
2014-09-05,Last Days in Vietnam,Documentary,,26083,,
2015-06-12,The Things of Life,Drama,,25314,,
2015-05-01,Preggoland,Comedy,,25294,,
2015-05-22,Love at First Fight,Romantic Comedy,,25229,,
2015-01-23,R100,Black Comedy,5500000,24956,0,24956
2015-06-26,Big Game,Action,,24752,,
2015-09-18,Forgotten,Drama,,24638,,
2015-04-10,Kill Me Three Times,Thriller/Suspense,,24296,,
2015-06-15,Hippocrates: Diary of a Fre…,Drama,,23050,,
2015-08-19,Slow Learners,Romantic Comedy,,22930,,
2015-07-15,Court,Drama,,22898,,
2015-05-08,The Epic of Everest,Documentary,,22382,,
2015-03-20,Can't Stand Losing You: Sur…,Documentary,,22326,,
1990-08-03,Metropolitan,,430000,22284,0,2938000
2015-05-15,Animals,Drama,5500000,22001,0,0
2015-02-27,Futuro Beach,Drama,,20620,,
2015-02-06,Boy Meets Girl,Romantic Comedy,,20441,,
2015-02-06,"Love, Rosie",Romantic Comedy,,20431,,
2015-10-23,Friends and Romans,Comedy,,20136,,
2015-04-24,Forbidden Games,Drama,,19889,,
2015-04-24,Misery Loves Comedy,Documentary,,19634,,
2014-11-07,Actress,Documentary,,19365,,
2015-09-11,The Challenger,Action,,19003,,
,Campanadas a medianoche,,,18958,,
2014-10-10,Meet the Mormons,Documentary,2000000,18805,1808,6049171
2015-07-17,El Ardor,Western,,18572,,
2014-11-21,Monk With a Camera,Documentary,,18275,,
2015-06-26,The Little Death,Comedy,,18238,,
2015-04-24,The Great Museum,Documentary,,18020,,
2015-08-14,The Other One,Drama,,17727,,
2015-12-11,The Boy and the World,Adventure,,17580,,
2015-10-09,Trash,Adventure,12000000,17484,6535702,6553186
2015-07-10,Strangerland,Drama,10000000,17472,143625,161097
2015-02-27,Eastern Boys,Drama,,16831,,
2015-12-18,Extraction,Thriller/Suspense,,16775,,
2015-03-13,Eva,Drama,,16738,,
2015-12-18,Noma: My Perfect Storm,Documentary,,16700,,
2015-10-02,This Changes Everything,Documentary,,16692,,
2015-07-17,A Hard Day,Thriller/Suspense,,16563,,
2003-10-31,Girlhood,,,16562,,
2014-11-21,The King and the Mockingbird,Adventure,,16396,,
2015-04-17,Full Moon in Paris,Drama,,16275,,
2015-02-13,Hits,Comedy,1000000,15156,0,15156
2015-04-03,Cheatin',Drama,,15077,,
2015-04-03,Far Too Far,Drama,,15000,,
,Omohide poro poro,,,14970,,
2015-03-20,Zombeavers,Black Comedy,,14947,,
2015-11-11,10 Days in a Madhouse,Drama,12000000,14616,0,14616
2015-03-06,Buzzard,Black Comedy,,14591,,
2015-05-22,The Human Centipede 3 (Fina…,Horror,,14562,,
2015-03-18,Amour fou,Drama,,14296,,
2015-12-04,The World of Kanako,Drama,,14129,,
2015-12-04,River of Fundament,Drama,,13981,,
2015-06-19,Eli,Comedy,11000000,13547,0,0
2014-12-05,The Passionate Thief,Comedy,,13135,,
2015-10-02,Going Away,Drama,,12494,,
2015-10-30,The Armor Of Light,Documentary,,12267,,
2015-03-13,Of Horses and Men,Comedy,,11894,,
2015-04-22,Emptying The Skies,Documentary,,11811,,
2015-05-01,Marie's Story,Drama,,11720,,
2014-10-17,Listen Up Philip,Black Comedy,,11640,,
2015-03-25,The Kidnapping of Michel Ho…,Comedy,,11546,,
2015-01-30,The Devil's Violinist,Drama,,11294,,
